
step 0: train loss 4.2874, val loss 4.2823
[2023-10-18 12:45:36,879] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:37,358] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,751] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,204] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,937] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,232] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,681] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,935] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2649, time 38742.47ms, mfu -100.00%
iter 10: loss 3.2438, time 111.03ms, mfu 3.36%
iter 20: loss 2.7899, time 104.83ms, mfu 3.38%
iter 30: loss 2.6383, time 104.60ms, mfu 3.39%
iter 40: loss 2.5763, time 105.29ms, mfu 3.41%
iter 50: loss 2.5261, time 105.89ms, mfu 3.42%
iter 60: loss 2.5136, time 105.62ms, mfu 3.43%
iter 70: loss 2.4921, time 104.19ms, mfu 3.45%
iter 80: loss 2.4932, time 105.53ms, mfu 3.45%
iter 90: loss 2.4696, time 106.36ms, mfu 3.46%
iter 100: loss 2.4526, time 106.66ms, mfu 3.46%
iter 110: loss 2.4543, time 104.82ms, mfu 3.47%
iter 120: loss 2.4223, time 106.65ms, mfu 3.47%
iter 130: loss 2.4059, time 108.19ms, mfu 3.47%
iter 140: loss 2.3925, time 107.37ms, mfu 3.47%
iter 150: loss 2.4098, time 111.00ms, mfu 3.46%
iter 160: loss 2.3675, time 105.85ms, mfu 3.47%
iter 170: loss 2.3382, time 106.47ms, mfu 3.47%
iter 180: loss 2.3011, time 106.48ms, mfu 3.47%
iter 190: loss 2.2278, time 107.00ms, mfu 3.47%
iter 200: loss 2.2004, time 105.34ms, mfu 3.48%
iter 210: loss 2.1244, time 107.68ms, mfu 3.48%
iter 220: loss 2.1338, time 106.70ms, mfu 3.48%
iter 230: loss 2.0709, time 106.15ms, mfu 3.48%
iter 240: loss 2.0742, time 106.64ms, mfu 3.48%
step 250: train loss 1.9616, val loss 2.0647
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0277, time 14723.75ms, mfu 3.14%
iter 260: loss 1.9685, time 111.25ms, mfu 3.16%
iter 270: loss 1.9776, time 110.38ms, mfu 3.18%
iter 280: loss 1.9798, time 110.93ms, mfu 3.20%
iter 290: loss 1.9237, time 112.23ms, mfu 3.21%
iter 300: loss 1.8944, time 109.62ms, mfu 3.23%
iter 310: loss 1.8637, time 111.48ms, mfu 3.24%
iter 320: loss 1.8569, time 111.10ms, mfu 3.25%
iter 330: loss 1.8088, time 112.41ms, mfu 3.26%
iter 340: loss 1.7812, time 112.10ms, mfu 3.26%
iter 350: loss 1.8272, time 110.30ms, mfu 3.28%
iter 360: loss 1.7745, time 111.29ms, mfu 3.28%
iter 370: loss 1.7414, time 111.59ms, mfu 3.29%
iter 380: loss 1.7304, time 111.50ms, mfu 3.29%
iter 390: loss 1.7372, time 111.37ms, mfu 3.30%
iter 400: loss 1.7640, time 111.84ms, mfu 3.30%
iter 410: loss 1.6959, time 111.04ms, mfu 3.31%
iter 420: loss 1.7088, time 108.93ms, mfu 3.32%
